# Renewables.ninja Solar PV (Point API) - 44.599, -72.500 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/New_York, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/New_York", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "44.5990718", "lon": "-72.5002608", "date_from": "2014-01-01", "date_to": "2014-12-31", "dataset": "merra2", "capacity": "50", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2014-01-01 00:00,2013-12-31 19:00,0,0,0,-12.989
2014-01-01 01:00,2013-12-31 20:00,0,0,0,-11.422
2014-01-01 02:00,2013-12-31 21:00,0,0,0,-11.315
2014-01-01 03:00,2013-12-31 22:00,0,0,0,-12.209
2014-01-01 04:00,2013-12-31 23:00,0,0,0,-13.476
2014-01-01 05:00,2014-01-01 00:00,0,0,0,-14.790
2014-01-01 06:00,2014-01-01 01:00,0,0,0,-16.172
2014-01-01 07:00,2014-01-01 02:00,0,0,0,-17.256
2014-01-01 08:00,2014-01-01 03:00,0,0,0,-18.146
2014-01-01 09:00,2014-01-01 04:00,0,0,0,-18.803
2014-01-01 10:00,2014-01-01 05:00,0,0,0,-19.237
2014-01-01 11:00,2014-01-01 06:00,0,0,0,-19.945
2014-01-01 12:00,2014-01-01 07:00,0.113,0.003,0.006,-19.961
2014-01-01 13:00,2014-01-01 08:00,3.679,0.027,0.057,-18.639
2014-01-01 14:00,2014-01-01 09:00,7.888,0.054,0.111,-16.451
2014-01-01 15:00,2014-01-01 10:00,10.525,0.070,0.146,-15.761
2014-01-01 16:00,2014-01-01 11:00,11.971,0.079,0.164,-15.443
2014-01-01 17:00,2014-01-01 12:00,9.833,0.052,0.150,-15.509
2014-01-01 18:00,2014-01-01 13:00,7.739,0.038,0.125,-15.789
2014-01-01 19:00,2014-01-01 14:00,4.444,0.020,0.080,-16.282
2014-01-01 20:00,2014-01-01 15:00,1.349,0.008,0.031,-17.053
2014-01-01 21:00,2014-01-01 16:00,0,0,0,-17.956
2014-01-01 22:00,2014-01-01 17:00,0,0,0,-18.939
2014-01-01 23:00,2014-01-01 18:00,0,0,0,-20.057
2014-01-02 00:00,2014-01-01 19:00,0,0,0,-21.504
2014-01-02 01:00,2014-01-01 20:00,0,0,0,-23.385
2014-01-02 02:00,2014-01-01 21:00,0,0,0,-25.190
2014-01-02 03:00,2014-01-01 22:00,0,0,0,-26.585
2014-01-02 04:00,2014-01-01 23:00,0,0,0,-27.075
2014-01-02 05:00,2014-01-02 00:00,0,0,0,-27.048
2014-01-02 06:00,2014-01-02 01:00,0,0,0,-26.538
2014-01-02 07:00,2014-01-02 02:00,0,0,0,-25.911
2014-01-02 08:00,2014-01-02 03:00,0,0,0,-25.433
2014-01-02 09:00,2014-01-02 04:00,0,0,0,-25.013
2014-01-02 10:00,2014-01-02 05:00,0,0,0,-24.639
2014-01-02 11:00,2014-01-02 06:00,0,0,0,-24.284
2014-01-02 12:00,2014-01-02 07:00,0,0,0.003,-23.929
2014-01-02 13:00,2014-01-02 08:00,1.141,0.003,0.031,-23.371
2014-01-02 14:00,2014-01-02 09:00,3.798,0.009,0.077,-22.480
2014-01-02 15:00,2014-01-02 10:00,6.068,0.015,0.113,-21.532
2014-01-02 16:00,2014-01-02 11:00,5.510,0.010,0.108,-20.780
2014-01-02 17:00,2014-01-02 12:00,4.750,0.008,0.097,-20.249
2014-01-02 18:00,2014-01-02 13:00,3.555,0.005,0.076,-19.837
2014-01-02 19:00,2014-01-02 14:00,1.904,0.003,0.047,-19.631
2014-01-02 20:00,2014-01-02 15:00,0.522,0.001,0.019,-19.687
2014-01-02 21:00,2014-01-02 16:00,0,0,0,-20.019
2014-01-02 22:00,2014-01-02 17:00,0,0,0,-20.535
2014-01-02 23:00,2014-01-02 18:00,0,0,0,-21.010
2014-01-03 00:00,2014-01-02 19:00,0,0,0,-21.407
2014-01-03 01:00,2014-01-02 20:00,0,0,0,-21.792
2014-01-03 02:00,2014-01-02 21:00,0,0,0,-22.180
2014-01-03 03:00,2014-01-02 22:00,0,0,0,-22.474
2014-01-03 04:00,2014-01-02 23:00,0,0,0,-22.517
2014-01-03 05:00,2014-01-03 00:00,0,0,0,-22.505
2014-01-03 06:00,2014-01-03 01:00,0,0,0,-22.480
2014-01-03 07:00,2014-01-03 02:00,0,0,0,-22.492
2014-01-03 08:00,2014-01-03 03:00,0,0,0,-22.580
2014-01-03 09:00,2014-01-03 04:00,0,0,0,-22.870
2014-01-03 10:00,2014-01-03 05:00,0,0,0,-23.297
2014-01-03 11:00,2014-01-03 06:00,0,0,0,-23.771
2014-01-03 12:00,2014-01-03 07:00,0.021,0.001,0.005,-24.318
2014-01-03 13:00,2014-01-03 08:00,2.498,0.014,0.047,-24.612
2014-01-03 14:00,2014-01-03 09:00,7.373,0.046,0.104,-24.550
2014-01-03 15:00,2014-01-03 10:00,15.528,0.152,0.149,-24.055
2014-01-03 16:00,2014-01-03 11:00,27.676,0.402,0.138,-23.431
2014-01-03 17:00,2014-01-03 12:00,26.441,0.377,0.138,-23.125
2014-01-03 18:00,2014-01-03 13:00,14.833,0.149,0.140,-23.004
2014-01-03 19:00,2014-01-03 14:00,7.348,0.055,0.096,-23.123
2014-01-03 20:00,2014-01-03 15:00,2.084,0.016,0.037,-23.409
2014-01-03 21:00,2014-01-03 16:00,0,0,0.001,-23.999
2014-01-03 22:00,2014-01-03 17:00,0,0,0,-25.382
2014-01-03 23:00,2014-01-03 18:00,0,0,0,-26.930
2014-01-04 00:00,2014-01-03 19:00,0,0,0,-27.913
2014-01-04 01:00,2014-01-03 20:00,0,0,0,-28.767
2014-01-04 02:00,2014-01-03 21:00,0,0,0,-28.981
2014-01-04 03:00,2014-01-03 22:00,0,0,0,-29.287
2014-01-04 04:00,2014-01-03 23:00,0,0,0,-30.064
2014-01-04 05:00,2014-01-04 00:00,0,0,0,-30.830
2014-01-04 06:00,2014-01-04 01:00,0,0,0,-31.109
2014-01-04 07:00,2014-01-04 02:00,0,0,0,-30.793
2014-01-04 08:00,2014-01-04 03:00,0,0,0,-29.966
2014-01-04 09:00,2014-01-04 04:00,0,0,0,-28.631
2014-01-04 10:00,2014-01-04 05:00,0,0,0,-27.158
2014-01-04 11:00,2014-01-04 06:00,0,0,0,-25.898
2014-01-04 12:00,2014-01-04 07:00,0.947,0.021,0.008,-24.395
2014-01-04 13:00,2014-01-04 08:00,14.624,0.236,0.051,-21.559
2014-01-04 14:00,2014-01-04 09:00,24.392,0.412,0.073,-18.505
