# Renewables.ninja Solar PV (Point API) - 52.517, 13.389 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in kW/m??, irradiance_diffuse in kW/m??, temperature in ??C
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Berlin"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"
# time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
1/1/2014 0:00,1/1/2014 1:00,0,0,0,-1.706
1/1/2014 1:00,1/1/2014 2:00,0,0,0,-1.664
1/1/2014 2:00,1/1/2014 3:00,0,0,0,-1.671
1/1/2014 3:00,1/1/2014 4:00,0,0,0,-1.632
1/1/2014 4:00,1/1/2014 5:00,0,0,0,-1.672
1/1/2014 5:00,1/1/2014 6:00,0,0,0,-1.732
1/1/2014 6:00,1/1/2014 7:00,0,0,0,-1.823
1/1/2014 7:00,1/1/2014 8:00,0.003,0.004,0.006,-1.75
1/1/2014 8:00,1/1/2014 9:00,0.058,0.029,0.045,-0.943
1/1/2014 9:00,1/1/2014 10:00,0.138,0.074,0.082,0.107
1/1/2014 10:00,1/1/2014 11:00,0.184,0.103,0.1,1.222
1/1/2014 11:00,1/1/2014 12:00,0.176,0.093,0.102,1.973
1/1/2014 12:00,1/1/2014 13:00,0.1,0.039,0.079,2.088
1/1/2014 13:00,1/1/2014 14:00,0.042,0.014,0.043,1.591
1/1/2014 14:00,1/1/2014 15:00,0.011,0.008,0.013,0.624
1/1/2014 15:00,1/1/2014 16:00,0,0,0,0.026
1/1/2014 16:00,1/1/2014 17:00,0,0,0,0.138
1/1/2014 17:00,1/1/2014 18:00,0,0,0,0.012
1/1/2014 18:00,1/1/2014 19:00,0,0,0,-0.049
1/1/2014 19:00,1/1/2014 20:00,0,0,0,-0.441
1/1/2014 20:00,1/1/2014 21:00,0,0,0,-0.506
1/1/2014 21:00,1/1/2014 22:00,0,0,0,-0.486
1/1/2014 22:00,1/1/2014 23:00,0,0,0,-0.699
1/1/2014 23:00,1/2/2014 0:00,0,0,0,-0.888
1/2/2014 0:00,1/2/2014 1:00,0,0,0,-1.151
1/2/2014 1:00,1/2/2014 2:00,0,0,0,-1.024
1/2/2014 2:00,1/2/2014 3:00,0,0,0,-0.682
1/2/2014 3:00,1/2/2014 4:00,0,0,0,-0.394
1/2/2014 4:00,1/2/2014 5:00,0,0,0,-0.239
1/2/2014 5:00,1/2/2014 6:00,0,0,0,-0.127
1/2/2014 6:00,1/2/2014 7:00,0,0,0,0.008
1/2/2014 7:00,1/2/2014 8:00,0,0.001,0.005,0.158
1/2/2014 8:00,1/2/2014 9:00,0.025,0.006,0.032,0.732
1/2/2014 9:00,1/2/2014 10:00,0.051,0.01,0.056,1.401
1/2/2014 10:00,1/2/2014 11:00,0.07,0.014,0.073,1.924
1/2/2014 11:00,1/2/2014 12:00,0.086,0.02,0.084,2.315
1/2/2014 12:00,1/2/2014 13:00,0.065,0.015,0.068,2.605
1/2/2014 13:00,1/2/2014 14:00,0.028,0.006,0.036,2.988
1/2/2014 14:00,1/2/2014 15:00,0.003,0.002,0.008,2.691
1/2/2014 15:00,1/2/2014 16:00,0,0,0,2.238
1/2/2014 16:00,1/2/2014 17:00,0,0,0,2.058
1/2/2014 17:00,1/2/2014 18:00,0,0,0,2.079
1/2/2014 18:00,1/2/2014 19:00,0,0,0,2.212
1/2/2014 19:00,1/2/2014 20:00,0,0,0,2.381
1/2/2014 20:00,1/2/2014 21:00,0,0,0,2.408
1/2/2014 21:00,1/2/2014 22:00,0,0,0,2.447
1/2/2014 22:00,1/2/2014 23:00,0,0,0,2.371
1/2/2014 23:00,1/3/2014 0:00,0,0,0,1.756
1/3/2014 0:00,1/3/2014 1:00,0,0,0,1.787
1/3/2014 1:00,1/3/2014 2:00,0,0,0,1.943
1/3/2014 2:00,1/3/2014 3:00,0,0,0,2.024
1/3/2014 3:00,1/3/2014 4:00,0,0,0,1.984
1/3/2014 4:00,1/3/2014 5:00,0,0,0,1.765
1/3/2014 5:00,1/3/2014 6:00,0,0,0,1.674
1/3/2014 6:00,1/3/2014 7:00,0,0,0,1.668
1/3/2014 7:00,1/3/2014 8:00,0,0,0.003,1.536
1/3/2014 8:00,1/3/2014 9:00,0.01,0.002,0.018,1.887
1/3/2014 9:00,1/3/2014 10:00,0.029,0.004,0.039,2.479
1/3/2014 10:00,1/3/2014 11:00,0.051,0.008,0.059,3.203
1/3/2014 11:00,1/3/2014 12:00,0.103,0.033,0.088,4.332
1/3/2014 12:00,1/3/2014 13:00,0.274,0.214,0.089,5.671
1/3/2014 13:00,1/3/2014 14:00,0.185,0.148,0.061,6.002
1/3/2014 14:00,1/3/2014 15:00,0.03,0.028,0.018,5.128
1/3/2014 15:00,1/3/2014 16:00,0,0,0,4.757
1/3/2014 16:00,1/3/2014 17:00,0,0,0,5.298
1/3/2014 17:00,1/3/2014 18:00,0,0,0,5.426
1/3/2014 18:00,1/3/2014 19:00,0,0,0,5.19
1/3/2014 19:00,1/3/2014 20:00,0,0,0,4.851
1/3/2014 20:00,1/3/2014 21:00,0,0,0,4.666
1/3/2014 21:00,1/3/2014 22:00,0,0,0,4.594
1/3/2014 22:00,1/3/2014 23:00,0,0,0,4.515
1/3/2014 23:00,1/4/2014 0:00,0,0,0,4.347
1/4/2014 0:00,1/4/2014 1:00,0,0,0,4.387
1/4/2014 1:00,1/4/2014 2:00,0,0,0,4.425
1/4/2014 2:00,1/4/2014 3:00,0,0,0,4.405
1/4/2014 3:00,1/4/2014 4:00,0,0,0,4.478
1/4/2014 4:00,1/4/2014 5:00,0,0,0,4.205
1/4/2014 5:00,1/4/2014 6:00,0,0,0,3.763
1/4/2014 6:00,1/4/2014 7:00,0,0,0,3.505
1/4/2014 7:00,1/4/2014 8:00,0,0.001,0.004,3.52
1/4/2014 8:00,1/4/2014 9:00,0.017,0.004,0.026,4.101
1/4/2014 9:00,1/4/2014 10:00,0.061,0.016,0.062,4.925
1/4/2014 10:00,1/4/2014 11:00,0.127,0.05,0.098,5.79
1/4/2014 11:00,1/4/2014 12:00,0.14,0.06,0.101,6.41
