# Renewables.ninja Wind (Point API) - 44.599, -72.500 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/New_York, electricity in kW
# {"units": {"time": "UTC", "local_time": "America/New_York", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "44.5990718", "lon": "-72.5002608", "date_from": "2014-01-01", "date_to": "2014-12-31", "dataset": "merra2", "capacity": "20", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2014-01-01 00:00,2013-12-31 19:00,6.735
2014-01-01 01:00,2013-12-31 20:00,11.114
2014-01-01 02:00,2013-12-31 21:00,12.080
2014-01-01 03:00,2013-12-31 22:00,9.971
2014-01-01 04:00,2013-12-31 23:00,6.909
2014-01-01 05:00,2014-01-01 00:00,4.466
2014-01-01 06:00,2014-01-01 01:00,3.136
2014-01-01 07:00,2014-01-01 02:00,2.112
2014-01-01 08:00,2014-01-01 03:00,1.799
2014-01-01 09:00,2014-01-01 04:00,2.250
2014-01-01 10:00,2014-01-01 05:00,1.975
2014-01-01 11:00,2014-01-01 06:00,2.532
2014-01-01 12:00,2014-01-01 07:00,2.742
2014-01-01 13:00,2014-01-01 08:00,3.240
2014-01-01 14:00,2014-01-01 09:00,2.412
2014-01-01 15:00,2014-01-01 10:00,2.574
2014-01-01 16:00,2014-01-01 11:00,4.205
2014-01-01 17:00,2014-01-01 12:00,5.090
2014-01-01 18:00,2014-01-01 13:00,5.281
2014-01-01 19:00,2014-01-01 14:00,4.672
2014-01-01 20:00,2014-01-01 15:00,3.786
2014-01-01 21:00,2014-01-01 16:00,3.344
2014-01-01 22:00,2014-01-01 17:00,3.347
2014-01-01 23:00,2014-01-01 18:00,3.065
2014-01-02 00:00,2014-01-01 19:00,2.960
2014-01-02 01:00,2014-01-01 20:00,2.922
2014-01-02 02:00,2014-01-01 21:00,2.230
2014-01-02 03:00,2014-01-01 22:00,2.027
2014-01-02 04:00,2014-01-01 23:00,1.580
2014-01-02 05:00,2014-01-02 00:00,1.103
2014-01-02 06:00,2014-01-02 01:00,0.670
2014-01-02 07:00,2014-01-02 02:00,0.438
2014-01-02 08:00,2014-01-02 03:00,0.328
2014-01-02 09:00,2014-01-02 04:00,0.227
2014-01-02 10:00,2014-01-02 05:00,0.201
2014-01-02 11:00,2014-01-02 06:00,0.178
2014-01-02 12:00,2014-01-02 07:00,0.176
2014-01-02 13:00,2014-01-02 08:00,0.192
2014-01-02 14:00,2014-01-02 09:00,0.199
2014-01-02 15:00,2014-01-02 10:00,0.191
2014-01-02 16:00,2014-01-02 11:00,0.296
2014-01-02 17:00,2014-01-02 12:00,0.646
2014-01-02 18:00,2014-01-02 13:00,1.147
2014-01-02 19:00,2014-01-02 14:00,1.365
2014-01-02 20:00,2014-01-02 15:00,1.178
2014-01-02 21:00,2014-01-02 16:00,0.913
2014-01-02 22:00,2014-01-02 17:00,0.833
2014-01-02 23:00,2014-01-02 18:00,0.616
2014-01-03 00:00,2014-01-02 19:00,0.463
2014-01-03 01:00,2014-01-02 20:00,0.561
2014-01-03 02:00,2014-01-02 21:00,0.517
2014-01-03 03:00,2014-01-02 22:00,0.867
2014-01-03 04:00,2014-01-02 23:00,1.110
2014-01-03 05:00,2014-01-03 00:00,1.294
2014-01-03 06:00,2014-01-03 01:00,1.529
2014-01-03 07:00,2014-01-03 02:00,1.732
2014-01-03 08:00,2014-01-03 03:00,2.019
2014-01-03 09:00,2014-01-03 04:00,2.418
2014-01-03 10:00,2014-01-03 05:00,3.322
2014-01-03 11:00,2014-01-03 06:00,4.260
2014-01-03 12:00,2014-01-03 07:00,4.734
2014-01-03 13:00,2014-01-03 08:00,5.668
2014-01-03 14:00,2014-01-03 09:00,6.000
2014-01-03 15:00,2014-01-03 10:00,6.423
2014-01-03 16:00,2014-01-03 11:00,6.906
2014-01-03 17:00,2014-01-03 12:00,7.387
2014-01-03 18:00,2014-01-03 13:00,7.712
2014-01-03 19:00,2014-01-03 14:00,7.048
2014-01-03 20:00,2014-01-03 15:00,6.099
2014-01-03 21:00,2014-01-03 16:00,5.279
2014-01-03 22:00,2014-01-03 17:00,4.044
2014-01-03 23:00,2014-01-03 18:00,3.171
2014-01-04 00:00,2014-01-03 19:00,3.161
2014-01-04 01:00,2014-01-03 20:00,2.468
2014-01-04 02:00,2014-01-03 21:00,1.019
2014-01-04 03:00,2014-01-03 22:00,0.519
2014-01-04 04:00,2014-01-03 23:00,0.632
2014-01-04 05:00,2014-01-04 00:00,1.175
2014-01-04 06:00,2014-01-04 01:00,1.853
2014-01-04 07:00,2014-01-04 02:00,2.526
2014-01-04 08:00,2014-01-04 03:00,3.067
2014-01-04 09:00,2014-01-04 04:00,3.559
2014-01-04 10:00,2014-01-04 05:00,4.860
2014-01-04 11:00,2014-01-04 06:00,6.758
2014-01-04 12:00,2014-01-04 07:00,7.727
2014-01-04 13:00,2014-01-04 08:00,6.887
2014-01-04 14:00,2014-01-04 09:00,4.371
2014-01-04 15:00,2014-01-04 10:00,4.020
2014-01-04 16:00,2014-01-04 11:00,5.188
2014-01-04 17:00,2014-01-04 12:00,7.263
