# Renewables.ninja Wind (Point API) - 52.517, 13.389 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, wind_speed in m/s
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Berlin"""," ""electricity"": ""kW"""," ""wind_speed"": ""m/s""}"
time,local_time,electricity,wind_speed
31/12/2013 23:00,1/1/2014 0:00,0.174,5.53
1/1/2014 0:00,1/1/2014 1:00,0.174,5.53
1/1/2014 1:00,1/1/2014 2:00,0.18,5.605
1/1/2014 2:00,1/1/2014 3:00,0.18,5.606
1/1/2014 3:00,1/1/2014 4:00,0.19,5.698
1/1/2014 4:00,1/1/2014 5:00,0.195,5.751
1/1/2014 5:00,1/1/2014 6:00,0.207,5.871
1/1/2014 6:00,1/1/2014 7:00,0.205,5.852
1/1/2014 7:00,1/1/2014 8:00,0.236,6.141
1/1/2014 8:00,1/1/2014 9:00,0.27,6.422
1/1/2014 9:00,1/1/2014 10:00,0.227,6.056
1/1/2014 10:00,1/1/2014 11:00,0.175,5.537
1/1/2014 11:00,1/1/2014 12:00,0.185,5.655
1/1/2014 12:00,1/1/2014 13:00,0.171,5.504
1/1/2014 13:00,1/1/2014 14:00,0.171,5.504
1/1/2014 14:00,1/1/2014 15:00,0.228,6.061
1/1/2014 15:00,1/1/2014 16:00,0.28,6.513
1/1/2014 16:00,1/1/2014 17:00,0.305,6.72
1/1/2014 17:00,1/1/2014 18:00,0.33,6.914
1/1/2014 18:00,1/1/2014 19:00,0.323,6.861
1/1/2014 19:00,1/1/2014 20:00,0.302,6.694
1/1/2014 20:00,1/1/2014 21:00,0.291,6.599
1/1/2014 21:00,1/1/2014 22:00,0.268,6.415
1/1/2014 22:00,1/1/2014 23:00,0.264,6.377
1/1/2014 23:00,1/2/2014 0:00,0.282,6.531
1/2/2014 0:00,1/2/2014 1:00,0.241,6.171
1/2/2014 1:00,1/2/2014 2:00,0.237,6.15
1/2/2014 2:00,1/2/2014 3:00,0.237,6.143
1/2/2014 3:00,1/2/2014 4:00,0.245,6.216
1/2/2014 4:00,1/2/2014 5:00,0.27,6.429
1/2/2014 5:00,1/2/2014 6:00,0.3,6.678
1/2/2014 6:00,1/2/2014 7:00,0.326,6.885
1/2/2014 7:00,1/2/2014 8:00,0.35,7.069
1/2/2014 8:00,1/2/2014 9:00,0.383,7.318
1/2/2014 9:00,1/2/2014 10:00,0.364,7.174
1/2/2014 10:00,1/2/2014 11:00,0.32,6.839
1/2/2014 11:00,1/2/2014 12:00,0.284,6.553
1/2/2014 12:00,1/2/2014 13:00,0.302,6.695
1/2/2014 13:00,1/2/2014 14:00,0.417,7.571
1/2/2014 14:00,1/2/2014 15:00,0.42,7.58
1/2/2014 15:00,1/2/2014 16:00,0.406,7.486
1/2/2014 16:00,1/2/2014 17:00,0.41,7.521
1/2/2014 17:00,1/2/2014 18:00,0.404,7.478
1/2/2014 18:00,1/2/2014 19:00,0.395,7.409
1/2/2014 19:00,1/2/2014 20:00,0.381,7.309
1/2/2014 20:00,1/2/2014 21:00,0.355,7.103
1/2/2014 21:00,1/2/2014 22:00,0.363,7.167
1/2/2014 22:00,1/2/2014 23:00,0.357,7.116
1/2/2014 23:00,1/3/2014 0:00,0.31,6.751
1/3/2014 0:00,1/3/2014 1:00,0.278,6.49
1/3/2014 1:00,1/3/2014 2:00,0.235,6.13
1/3/2014 2:00,1/3/2014 3:00,0.217,5.953
1/3/2014 3:00,1/3/2014 4:00,0.2,5.796
1/3/2014 4:00,1/3/2014 5:00,0.18,5.597
1/3/2014 5:00,1/3/2014 6:00,0.184,5.642
1/3/2014 6:00,1/3/2014 7:00,0.201,5.808
1/3/2014 7:00,1/3/2014 8:00,0.212,5.915
1/3/2014 8:00,1/3/2014 9:00,0.225,6.029
1/3/2014 9:00,1/3/2014 10:00,0.202,5.823
1/3/2014 10:00,1/3/2014 11:00,0.219,5.97
1/3/2014 11:00,1/3/2014 12:00,0.284,6.55
1/3/2014 12:00,1/3/2014 13:00,0.315,6.803
1/3/2014 13:00,1/3/2014 14:00,0.368,7.209
1/3/2014 14:00,1/3/2014 15:00,0.466,7.927
1/3/2014 15:00,1/3/2014 16:00,0.502,8.188
1/3/2014 16:00,1/3/2014 17:00,0.566,8.65
1/3/2014 17:00,1/3/2014 18:00,0.532,8.406
