"DateTime;""grid (2233) (kw)"";""solar (2233) (kw)""",,
2019-06-02 00:00:00;1,985;0,2
2019-06-02 00:01:00;2,046;0,1
2019-06-02 00:02:00;2,151;0,2
2019-06-02 00:03:00;2,153;0,2
2019-06-02 00:04:00;2,199;0,1
2019-06-02 00:05:00;2,118;0,1
2019-06-02 00:06:00;1,955;0,1
2019-06-02 00:07:00;1,955;0,1
2019-06-02 00:08:00;1,947;0,1
2019-06-02 00:09:00;1,964;0,2
2019-06-02 00:10:00;1,974;0,1
2019-06-02 00:11:00;1,939;0,1
2019-06-02 00:12:00;1,931;0,1
2019-06-02 00:13:00;1,931;0,1
2019-06-02 00:14:00;1,947;0,1
2019-06-02 00:15:00;1,981;0,1
2019-06-02 00:16:00;1,96;0,1
2019-06-02 00:17:00;1,934;0,1
2019-06-02 00:18:00;1,935;0,2
2019-06-02 00:19:00;1,938;0,1
2019-06-02 00:20:00;1,978;0,1
2019-06-02 00:21:00;1,971;0,1
2019-06-02 00:22:00;1,932;0,1
2019-06-02 00:23:00;1,946;0,1
2019-06-02 00:24:00;1,995;0,1
2019-06-02 00:25:00;2,192;0,2
2019-06-02 00:26:00;2,192;0,2
2019-06-02 00:27:00;2,157;0,1
2019-06-02 00:28:00;2,674;0,2
2019-06-02 00:29:00;5,105;0,4
2019-06-02 00:30:00;5,091;0,4
2019-06-02 00:31:00;5,12;0,5
2019-06-02 00:32:00;5,086;0,4
2019-06-02 00:33:00;5,058;0,5
2019-06-02 00:34:00;5,056;0,4
2019-06-02 00:35:00;5,059;0,4
2019-06-02 00:36:00;5,105;0,5
2019-06-02 00:37:00;5,099;0,4
2019-06-02 00:38:00;5,063;0,5
2019-06-02 00:39:00;5,059;0,4
2019-06-02 00:40:00;5,056;0,5
2019-06-02 00:41:00;5,093;0,4
2019-06-02 00:42:00;5,098;0,5
2019-06-02 00:43:00;5,058;0,4
2019-06-02 00:44:00;5,05;0,5
2019-06-02 00:45:00;5,051;0,5
2019-06-02 00:46:00;5,08;0,4
2019-06-02 00:47:00;5,128;0,4
2019-06-02 00:48:00;5,25;0,5
2019-06-02 00:49:00;5,283;0,5
2019-06-02 00:50:00;5,274;0,4
2019-06-02 00:51:00;5,295;0,5
2019-06-02 00:52:00;5,227;0,5
2019-06-02 00:53:00;5,109;0,4
2019-06-02 00:54:00;5,09;0,4
2019-06-02 00:55:00;5,078;0,4
2019-06-02 00:56:00;5,072;0,4
2019-06-02 00:57:00;5,11;0,5
2019-06-02 00:58:00;5,105;0,5
2019-06-02 00:59:00;5,065;0,4
2019-06-02 01:00:00;5,063;0,4
2019-06-02 01:01:00;5,061;0,4
2019-06-02 01:02:00;5,094;0,5
2019-06-02 01:03:00;5,09;0,4
2019-06-02 01:04:00;5,047;0,4
2019-06-02 01:05:00;5,047;0,5
2019-06-02 01:06:00;5,05;0,4
2019-06-02 01:07:00;5,079;0,5
2019-06-02 01:08:00;5,091;0,4
2019-06-02 01:09:00;5,051;0,5
2019-06-02 01:10:00;5,065;0,5
2019-06-02 01:11:00;5,11;0,4
2019-06-02 01:12:00;5,299;0,5
2019-06-02 01:13:00;5,323;0,5
2019-06-02 01:14:00;5,311;0,5
2019-06-02 01:15:00;5,26;0,5
2019-06-02 01:16:00;5,087;0,5
2019-06-02 01:17:00;5,105;0,4
2019-06-02 01:18:00;5,127;0,5
2019-06-02 01:19:00;5,079;0,5
2019-06-02 01:20:00;4,743;0,4
2019-06-02 01:21:00;3,775;0,3
2019-06-02 01:22:00;4,557;0,4
2019-06-02 01:23:00;5,28;0,4
2019-06-02 01:24:00;5,271;0,4
2019-06-02 01:25:00;5,233;0,4
2019-06-02 01:26:00;5,233;0,4
2019-06-02 01:27:00;5,227;0,5
2019-06-02 01:28:00;5,274;0,5
2019-06-02 01:29:00;4,025;0,3
2019-06-02 01:30:00;3,768;0,3
2019-06-02 01:31:00;3,76;0,3
2019-06-02 01:32:00;3,763;0,3
2019-06-02 01:33:00;3,802;0,3
2019-06-02 01:34:00;3,839;0,3
2019-06-02 01:35:00;3,939;0,3
2019-06-02 01:36:00;3,996;0,3
2019-06-02 01:37:00;3,979;0,3
2019-06-02 01:38:00;3,998;0,3
2019-06-02 01:39:00;3,897;0,3
2019-06-02 01:40:00;3,806;0,3
2019-06-02 01:41:00;3,778;0,3
2019-06-02 01:42:00;3,761;0,3
2019-06-02 01:43:00;3,756;0,3
2019-06-02 01:44:00;3,789;0,3
2019-06-02 01:45:00;3,777;0,3
2019-06-02 01:46:00;3,751;0,3
2019-06-02 01:47:00;3,755;0,3
2019-06-02 01:48:00;3,759;0,3
2019-06-02 01:49:00;3,802;0,3
2019-06-02 01:50:00;3,799;0,3
2019-06-02 01:51:00;3,746;0,3
2019-06-02 01:52:00;3,746;0,3
2019-06-02 01:53:00;3,74;0,3
2019-06-02 01:54:00;3,78;0,3
2019-06-02 01:55:00;3,779;0,3
2019-06-02 01:56:00;3,755;0,2
2019-06-02 01:57:00;1,795;0,1
2019-06-02 01:58:00;0,897;0,
2019-06-02 01:59:00;0,968;0,
2019-06-02 02:00:00;0,947;0,
2019-06-02 02:01:00;0,925;0,
2019-06-02 02:02:00;0,866;0,
2019-06-02 02:03:00;0,663;0,1
2019-06-02 02:04:00;0,648;0,
2019-06-02 02:05:00;0,693;0,
2019-06-02 02:06:00;0,658;0,
2019-06-02 02:07:00;0,616;0,
2019-06-02 02:08:00;0,625;0,
2019-06-02 02:09:00;0,62;0,
2019-06-02 02:10:00;0,651;0,
2019-06-02 02:11:00;0,664;0,1
2019-06-02 02:12:00;0,625;-0,1
2019-06-02 02:13:00;0,617;0,
2019-06-02 02:14:00;0,617;0,
2019-06-02 02:15:00;0,639;-0,1
2019-06-02 02:16:00;0,662;-0,1
2019-06-02 02:17:00;0,644;0,
2019-06-02 02:18:00;0,626;-0,1
2019-06-02 02:19:00;0,63;0,
2019-06-02 02:20:00;0,628;-0,1
2019-06-02 02:21:00;0,691;0,
2019-06-02 02:22:00;0,786;0,
2019-06-02 02:23:00;0,852;0,
2019-06-02 02:24:00;0,84;0,
2019-06-02 02:25:00;0,842;0,
2019-06-02 02:26:00;0,796;-0,1
2019-06-02 02:27:00;0,689;0,
2019-06-02 02:28:00;0,682;-0,1
2019-06-02 02:29:00;0,636;0,
2019-06-02 02:30:00;0,617;0,
2019-06-02 02:31:00;0,617;0,
2019-06-02 02:32:00;0,653;0,
2019-06-02 02:33:00;0,658;0,
2019-06-02 02:34:00;0,619;0,
2019-06-02 02:35:00;0,617;-0,1
2019-06-02 02:36:00;0,617;0,
2019-06-02 02:37:00;0,642;0,
2019-06-02 02:38:00;0,661;-0,1
2019-06-02 02:39:00;0,645;0,
2019-06-02 02:40:00;0,617;0,
2019-06-02 02:41:00;2,09;0,1
2019-06-02 02:42:00;3,673;0,3
2019-06-02 02:43:00;3,704;0,3
2019-06-02 02:44:00;3,731;0,3
2019-06-02 02:45:00;3,754;0,3
2019-06-02 02:46:00;3,91;0,4
2019-06-02 02:47:00;3,91;0,3
2019-06-02 02:48:00;3,921;0,3
2019-06-02 02:49:00;3,948;0,3
2019-06-02 02:50:00;3,745;0,3
2019-06-02 02:51:00;3,718;0,3
2019-06-02 02:52:00;3,715;0,3
2019-06-02 02:53:00;3,687;0,3
2019-06-02 02:54:00;3,735;0,3
2019-06-02 02:55:00;3,73;0,3
2019-06-02 02:56:00;2,224;0,1
2019-06-02 02:57:00;0,811;0,
2019-06-02 02:58:00;0,724;0,
2019-06-02 02:59:00;0,656;-0,1
2019-06-02 03:00:00;0,66;-0,1
2019-06-02 03:01:00;0,629;0,
2019-06-02 03:02:00;0,622;-0,1
2019-06-02 03:03:00;0,62;0,
2019-06-02 03:04:00;0,641;0,
2019-06-02 03:05:00;0,666;0,
2019-06-02 03:06:00;0,639;0,
2019-06-02 03:07:00;0,621;0,
2019-06-02 03:08:00;0,654;0,
2019-06-02 03:09:00;0,821;0,
2019-06-02 03:10:00;0,888;0,
2019-06-02 03:11:00;0,871;0,
2019-06-02 03:12:00;0,84;0,
2019-06-02 03:13:00;0,751;0,
2019-06-02 03:14:00;2,032;0,1
2019-06-02 03:15:00;3,76;0,3
2019-06-02 03:16:00;3,742;0,3
2019-06-02 03:17:00;3,684;0,3
2019-06-02 03:18:00;3,687;0,3
2019-06-02 03:19:00;3,684;0,3
2019-06-02 03:20:00;3,711;0,3
2019-06-02 03:21:00;3,726;0,3
2019-06-02 03:22:00;3,698;0,3
2019-06-02 03:23:00;3,683;0,3
2019-06-02 03:24:00;3,682;0,3
