"DateTime";"grid (86) (kw)"
"2014-01-01 00:00:00";2,444
"2014-01-01 00:15:00";2,273
"2014-01-01 00:30:00";2,426
"2014-01-01 00:45:00";2,361
"2014-01-01 01:00:00";2,275
"2014-01-01 01:15:00";2,399
"2014-01-01 01:30:00";1,352
"2014-01-01 01:45:00";1,196
"2014-01-01 02:00:00";0,908
"2014-01-01 02:15:00";1,038
"2014-01-01 02:30:00";0,937
"2014-01-01 02:45:00";0,969
"2014-01-01 03:00:00";0,988
"2014-01-01 03:15:00";0,927
"2014-01-01 03:30:00";0,875
"2014-01-01 03:45:00";0,828
"2014-01-01 04:00:00";0,806
"2014-01-01 04:15:00";0,565
"2014-01-01 04:30:00";0,576
"2014-01-01 04:45:00";0,565
"2014-01-01 05:00:00";0,489
"2014-01-01 05:15:00";0,512
"2014-01-01 05:30:00";0,638
"2014-01-01 05:45:00";0,672
"2014-01-01 06:00:00";0,601
"2014-01-01 06:15:00";0,566
"2014-01-01 06:30:00";0,737
"2014-01-01 06:45:00";1,006
"2014-01-01 07:00:00";0,575
"2014-01-01 07:15:00";0,763
"2014-01-01 07:30:00";0,844
"2014-01-01 07:45:00";0,757
"2014-01-01 08:00:00";0,592
"2014-01-01 08:15:00";0,58
"2014-01-01 08:30:00";0,578
"2014-01-01 08:45:00";1,72
"2014-01-01 09:00:00";1,814
"2014-01-01 09:15:00";1,705
"2014-01-01 09:30:00";1,505
"2014-01-01 09:45:00";1,412
"2014-01-01 10:00:00";1,231
"2014-01-01 10:15:00";1,463
"2014-01-01 10:30:00";2,267
"2014-01-01 10:45:00";5,122
"2014-01-01 11:00:00";5,573
"2014-01-01 11:15:00";5,043
"2014-01-01 11:30:00";4,918
"2014-01-01 11:45:00";4,76
"2014-01-01 12:00:00";4,371
"2014-01-01 12:15:00";4,341
"2014-01-01 12:30:00";4,37
"2014-01-01 12:45:00";2,308
"2014-01-01 13:00:00";2,145
"2014-01-01 13:15:00";1,944
"2014-01-01 13:30:00";1,886
"2014-01-01 13:45:00";1,987
"2014-01-01 14:00:00";1,852
"2014-01-01 14:15:00";2,087
"2014-01-01 14:30:00";1,899
"2014-01-01 14:45:00";2,164
"2014-01-01 15:00:00";1,974
"2014-01-01 15:15:00";2,024
"2014-01-01 15:30:00";2,248
"2014-01-01 15:45:00";1,165
"2014-01-01 16:00:00";1,087
"2014-01-01 16:15:00";1,013
"2014-01-01 16:30:00";0,993
"2014-01-01 16:45:00";1,278
