"DateTime";"day_ahead_lmp (avg) (neiso)"
"2019-06-02 00:00:00";19,004
"2019-06-02 01:00:00";18,271
"2019-06-02 02:00:00";16,604
"2019-06-02 03:00:00";16,771
"2019-06-02 04:00:00";16,691
"2019-06-02 05:00:00";15,937
"2019-06-02 06:00:00";16,657
"2019-06-02 07:00:00";18,307
"2019-06-02 08:00:00";20,51
"2019-06-02 09:00:00";20,918
"2019-06-02 10:00:00";20,213
"2019-06-02 11:00:00";20,626
"2019-06-02 12:00:00";21,006
"2019-06-02 13:00:00";21,038
"2019-06-02 14:00:00";20,712
"2019-06-02 15:00:00";22,056
"2019-06-02 16:00:00";23,203
"2019-06-02 17:00:00";25,504
"2019-06-02 18:00:00";24,466
"2019-06-02 19:00:00";25,431
"2019-06-02 20:00:00";30,384
"2019-06-02 21:00:00";23,629
"2019-06-02 22:00:00";20,109
"2019-06-02 23:00:00";20,198
"2019-06-04 00:00:00";20,26
"2019-06-04 01:00:00";19,202
"2019-06-04 02:00:00";18,074
"2019-06-04 03:00:00";18,149
"2019-06-04 04:00:00";18,299
"2019-06-04 05:00:00";22,163
"2019-06-04 06:00:00";24,773
"2019-06-04 07:00:00";29,395
"2019-06-04 08:00:00";23,36
"2019-06-04 09:00:00";21,071
"2019-06-04 10:00:00";21,342
"2019-06-04 11:00:00";20,909
"2019-06-04 12:00:00";20,939
"2019-06-04 13:00:00";22,421
"2019-06-04 14:00:00";24,357
"2019-06-04 15:00:00";23,376
"2019-06-04 16:00:00";27,79
"2019-06-04 17:00:00";28,862
"2019-06-04 18:00:00";31,043
"2019-06-04 19:00:00";29,636
"2019-06-04 20:00:00";33,105
"2019-06-04 21:00:00";28,98
"2019-06-04 22:00:00";21,576
"2019-06-04 23:00:00";22,952
"2019-06-06 00:00:00";20,419
"2019-06-06 01:00:00";18,698
"2019-06-06 02:00:00";17,71
"2019-06-06 03:00:00";17,432
"2019-06-06 04:00:00";17,454
"2019-06-06 05:00:00";18,943
"2019-06-06 06:00:00";21,704
"2019-06-06 07:00:00";25,705
"2019-06-06 08:00:00";24,452
"2019-06-06 09:00:00";22,644
"2019-06-06 10:00:00";24,8
"2019-06-06 11:00:00";23,762
"2019-06-06 12:00:00";24,355
"2019-06-06 13:00:00";25,286
"2019-06-06 14:00:00";25,449
"2019-06-06 15:00:00";25,493
"2019-06-06 16:00:00";30,106
"2019-06-06 17:00:00";32,405
"2019-06-06 18:00:00";29,269
"2019-06-06 19:00:00";26,126
"2019-06-06 20:00:00";25,843
"2019-06-06 21:00:00";22,604
"2019-06-06 22:00:00";20,946
"2019-06-06 23:00:00";20,115
"2019-06-09 00:00:00";18,669
"2019-06-09 01:00:00";16,738
"2019-06-09 02:00:00";16,718
"2019-06-09 03:00:00";16,987
"2019-06-09 04:00:00";16,29
"2019-06-09 05:00:00";16,364
"2019-06-09 06:00:00";15,948
"2019-06-09 07:00:00";15,467
"2019-06-09 08:00:00";17,124
"2019-06-09 09:00:00";19,756
"2019-06-09 10:00:00";17,7
"2019-06-09 11:00:00";18,791
"2019-06-09 12:00:00";20,518
"2019-06-09 13:00:00";22,054
"2019-06-09 14:00:00";20,124
"2019-06-09 15:00:00";21,138
"2019-06-09 16:00:00";24,613
"2019-06-09 17:00:00";26,508
"2019-06-09 18:00:00";25,331
"2019-06-09 19:00:00";25,076
"2019-06-09 20:00:00";25,812
"2019-06-09 21:00:00";21,324
"2019-06-09 22:00:00";19,071
"2019-06-09 23:00:00";18,49
"2019-06-12 00:00:00";17,7
"2019-06-12 01:00:00";16,83
"2019-06-12 02:00:00";16,124
"2019-06-12 03:00:00";15,527
"2019-06-12 04:00:00";15,902
"2019-06-12 05:00:00";17,803
"2019-06-12 06:00:00";19,028
"2019-06-12 07:00:00";20,871
"2019-06-12 08:00:00";19,806
"2019-06-12 09:00:00";19,892
"2019-06-12 10:00:00";19,018
"2019-06-12 11:00:00";22,117
"2019-06-12 12:00:00";22,561
"2019-06-12 13:00:00";23,01
"2019-06-12 14:00:00";23,828
"2019-06-12 15:00:00";26,51
"2019-06-12 16:00:00";26,831
"2019-06-12 17:00:00";28,123
"2019-06-12 18:00:00";29,623
"2019-06-12 19:00:00";25,688
"2019-06-12 20:00:00";25,224
"2019-06-12 21:00:00";25,303
"2019-06-12 22:00:00";19,252
"2019-06-12 23:00:00";19,251
"2019-06-14 00:00:00";15,733
"2019-06-14 01:00:00";15,291
"2019-06-14 02:00:00";13,87
"2019-06-14 03:00:00";15,219
"2019-06-14 04:00:00";14,837
"2019-06-14 05:00:00";15,562
"2019-06-14 06:00:00";20,024
"2019-06-14 07:00:00";20,605
